Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
0,1184.3,STABLE,Normal Physics,1.17,527,0.0,8e-05
1,1254.8,STABLE,Normal Physics,1.18,527,2e-05,7e-05
2,1167.6,STABLE,Normal Physics,1.16,527,2e-05,8e-05
3,1191.9,STABLE,Normal Physics,1.17,527,2e-05,8e-05
4,1181.9,STABLE,Normal Physics,1.17,527,2e-05,8e-05
5,1255.0,STABLE,Normal Physics,1.18,527,2e-05,7e-05
6,1247.5,STABLE,Normal Physics,1.18,527,2e-05,7e-05
7,1277.0,STABLE,Normal Physics,1.18,527,2e-05,7e-05
8,1244.6,STABLE,Normal Physics,1.18,527,2e-05,7e-05
9,1302.1,STABLE,Normal Physics,1.19,527,2e-05,7e-05
10,1279.8,STABLE,Normal Physics,1.18,527,2e-05,7e-05
11,1296.7,EARLY_FIRE,Pre-ignition,1.19,527,2e-05,0.0
12,1314.9,STABLE,Normal Physics,1.19,527,0.0,7e-05
13,1313.7,STABLE,Normal Physics,1.19,527,2e-05,7e-05
14,1312.1,STABLE,Normal Physics,1.19,527,2e-05,7e-05
15,1285.3,STABLE,Normal Physics,1.18,527,2e-05,7e-05
16,1307.0,STABLE,Normal Physics,1.19,527,2e-05,7e-05
17,1342.3,STABLE,Normal Physics,1.2,527,2e-05,7e-05
18,1339.6,STABLE,Normal Physics,1.19,527,2e-05,7e-05
19,1352.8,STABLE,Normal Physics,1.2,527,2e-05,6e-05
20,1294.4,STABLE,Normal Physics,1.19,527,2e-05,7e-05
21,1351.8,STABLE,Normal Physics,1.2,527,2e-05,6e-05
22,1388.2,STABLE,Normal Physics,1.2,527,2e-05,6e-05
23,1328.9,STABLE,Normal Physics,1.19,527,2e-05,7e-05
24,1318.4,STABLE,Normal Physics,1.19,527,2e-05,7e-05
25,1382.3,STABLE,Normal Physics,1.2,527,2e-05,6e-05
26,1408.1,STABLE,Normal Physics,1.21,527,2e-05,6e-05
27,1356.4,STABLE,Normal Physics,1.2,527,2e-05,6e-05
28,1418.1,STABLE,Normal Physics,1.21,527,2e-05,6e-05
29,1370.8,STABLE,Normal Physics,1.2,527,2e-05,6e-05
30,1368.9,STABLE,Normal Physics,1.2,527,2e-05,6e-05
31,1414.6,STABLE,Normal Physics,1.21,527,2e-05,6e-05
32,1434.2,STABLE,Normal Physics,1.21,527,2e-05,6e-05
33,1422.1,STABLE,Normal Physics,1.21,527,2e-05,6e-05
34,1441.7,MISFIRE,Fuel cut,1.21,527,2e-05,0.0
35,1392.7,STABLE,Normal Physics,1.2,527,0.0,6e-05
36,1465.9,STABLE,Normal Physics,1.22,527,2e-05,6e-05
37,1403.3,STABLE,Normal Physics,1.21,527,2e-05,6e-05
38,1412.9,STABLE,Normal Physics,1.21,527,2e-05,6e-05
39,1467.9,STABLE,Normal Physics,1.22,527,2e-05,6e-05
40,1459.3,STABLE,Normal Physics,1.22,527,2e-05,6e-05
41,1429.0,STABLE,Normal Physics,1.21,527,2e-05,6e-05
42,1498.1,STABLE,Normal Physics,1.22,527,2e-05,6e-05
43,1534.3,STABLE,Normal Physics,1.23,527,2e-05,5e-05
44,1525.5,STABLE,Normal Physics,1.23,527,2e-05,5e-05
45,1492.9,STABLE,Normal Physics,1.22,527,2e-05,6e-05
46,1509.5,STABLE,Normal Physics,1.22,527,2e-05,6e-05
47,1558.1,STABLE,Normal Physics,1.23,527,2e-05,5e-05
48,1550.5,STABLE,Normal Physics,1.23,527,2e-05,5e-05
49,1536.2,STABLE,Normal Physics,1.23,527,2e-05,5e-05
50,1510.3,STABLE,Normal Physics,1.22,527,2e-05,6e-05
51,1549.6,STABLE,Normal Physics,1.23,527,2e-05,5e-05
52,1583.3,STABLE,Normal Physics,1.24,527,2e-05,5e-05
53,1560.4,MISFIRE,Fuel cut,1.23,527,2e-05,0.0
54,1599.2,STABLE,Normal Physics,1.24,527,0.0,5e-05
55,1572.6,STABLE,Normal Physics,1.23,527,2e-05,5e-05
56,1531.9,STABLE,Normal Physics,1.23,527,2e-05,5e-05
57,1614.9,STABLE,Normal Physics,1.24,527,2e-05,5e-05
58,1562.5,STABLE,Normal Physics,1.23,527,2e-05,5e-05
59,1619.8,STABLE,Normal Physics,1.24,527,2e-05,5e-05
60,1611.2,STABLE,Normal Physics,1.24,527,2e-05,5e-05
61,1656.7,STABLE,Normal Physics,1.25,527,2e-05,5e-05
62,1647.8,STABLE,Normal Physics,1.25,527,1e-05,5e-05
63,1600.1,STABLE,Normal Physics,1.24,527,1e-05,5e-05
64,1665.9,STABLE,Normal Physics,1.25,527,2e-05,5e-05
65,1681.1,STABLE,Normal Physics,1.25,527,1e-05,5e-05
66,1632.5,STABLE,Normal Physics,1.24,527,1e-05,5e-05
67,1693.8,STABLE,Normal Physics,1.25,527,1e-05,5e-05
68,1620.5,STABLE,Normal Physics,1.24,527,1e-05,5e-05
69,1715.2,STABLE,Normal Physics,1.26,527,2e-05,5e-05
70,1644.3,STABLE,Normal Physics,1.25,527,1e-05,5e-05
71,1641.6,STABLE,Normal Physics,1.25,527,1e-05,5e-05
72,1679.3,STABLE,Normal Physics,1.25,527,1e-05,5e-05
73,1693.7,STABLE,Normal Physics,1.25,527,1e-05,5e-05
74,1720.0,STABLE,Normal Physics,1.26,527,1e-05,5e-05
75,1661.9,STABLE,Normal Physics,1.25,527,1e-05,5e-05
76,1693.7,STABLE,Normal Physics,1.25,527,1e-05,5e-05
77,1708.4,STABLE,Normal Physics,1.26,527,1e-05,5e-05
78,1770.2,STABLE,Normal Physics,1.27,527,1e-05,4e-05
79,1757.8,MISFIRE,Fuel cut,1.26,527,1e-05,0.0
80,1696.2,STABLE,Normal Physics,1.25,527,0.0,5e-05
81,1751.8,STABLE,Normal Physics,1.26,527,1e-05,5e-05
82,1718.3,STABLE,Normal Physics,1.26,527,1e-05,5e-05
83,1799.4,STABLE,Normal Physics,1.27,527,1e-05,4e-05
84,1799.9,STABLE,Normal Physics,1.27,527,1e-05,4e-05
85,1729.3,STABLE,Normal Physics,1.26,527,1e-05,5e-05
86,1770.4,STABLE,Normal Physics,1.27,527,1e-05,4e-05
87,1828.4,EARLY_FIRE,Pre-ignition,1.27,527,1e-05,0.0
88,1824.4,STABLE,Normal Physics,1.27,527,0.0,4e-05
89,1797.2,STABLE,Normal Physics,1.27,527,1e-05,4e-05
90,1845.7,STABLE,Normal Physics,1.28,527,1e-05,4e-05
91,1840.8,STABLE,Normal Physics,1.28,527,1e-05,4e-05
92,1799.5,STABLE,Normal Physics,1.27,527,1e-05,4e-05
93,1809.5,EARLY_FIRE,Pre-ignition,1.27,527,1e-05,0.0
94,1863.8,STABLE,Normal Physics,1.28,527,0.0,4e-05
95,1861.6,STABLE,Normal Physics,1.28,527,1e-05,4e-05
96,1821.2,STABLE,Normal Physics,1.27,527,1e-05,4e-05
97,1896.0,STABLE,Normal Physics,1.28,527,1e-05,4e-05
98,1912.4,STABLE,Normal Physics,1.29,527,1e-05,4e-05
99,1907.6,STABLE,Normal Physics,1.29,527,1e-05,4e-05
100,1839.5,STABLE,Normal Physics,1.28,527,1e-05,4e-05
101,1871.0,STABLE,Normal Physics,1.28,527,1e-05,4e-05
102,1879.4,STABLE,Normal Physics,1.28,527,1e-05,4e-05
103,1900.3,STABLE,Normal Physics,1.28,527,1e-05,4e-05
104,1944.1,STABLE,Normal Physics,1.29,527,1e-05,4e-05
105,1949.1,STABLE,Normal Physics,1.29,527,1e-05,4e-05
106,1959.5,STABLE,Normal Physics,1.29,527,1e-05,4e-05
107,1952.1,STABLE,Normal Physics,1.29,527,1e-05,4e-05
108,1960.5,STABLE,Normal Physics,1.29,527,1e-05,4e-05
109,1967.1,STABLE,Normal Physics,1.29,527,1e-05,4e-05
110,1987.3,STABLE,Normal Physics,1.3,527,1e-05,4e-05
111,1977.1,STABLE,Normal Physics,1.3,527,1e-05,4e-05
112,1962.6,STABLE,Normal Physics,1.29,527,1e-05,4e-05
113,1957.3,STABLE,Normal Physics,1.29,527,1e-05,4e-05
114,1962.4,STABLE,Normal Physics,1.29,527,1e-05,4e-05
115,1950.9,STABLE,Normal Physics,1.29,527,1e-05,4e-05
116,1996.9,STABLE,Normal Physics,1.3,527,1e-05,4e-05
117,2033.1,STABLE,Normal Physics,1.3,527,1e-05,4e-05
118,2031.8,EARLY_FIRE,Pre-ignition,1.3,527,1e-05,0.0
119,1980.2,STABLE,Normal Physics,1.3,527,0.0,4e-05
120,1980.6,STABLE,Normal Physics,1.3,527,1e-05,4e-05
121,2040.8,STABLE,Normal Physics,1.3,527,1e-05,4e-05
122,1990.9,STABLE,Normal Physics,1.3,527,1e-05,4e-05
123,2054.6,STABLE,Normal Physics,1.31,527,1e-05,4e-05
124,2034.4,STABLE,Normal Physics,1.3,527,1e-05,4e-05
125,2047.4,STABLE,Normal Physics,1.3,527,1e-05,4e-05
126,2101.9,EARLY_FIRE,Pre-ignition,1.31,527,1e-05,0.0
127,2084.7,STABLE,Normal Physics,1.31,527,0.0,4e-05
128,2092.7,MISFIRE,Fuel cut,1.31,527,1e-05,0.0
129,2123.4,STABLE,Normal Physics,1.31,527,0.0,3e-05
130,2063.0,STABLE,Normal Physics,1.31,527,1e-05,4e-05
131,2124.3,STABLE,Normal Physics,1.31,527,1e-05,3e-05
132,2057.7,STABLE,Normal Physics,1.31,527,1e-05,4e-05
133,2127.8,STABLE,Normal Physics,1.32,527,1e-05,3e-05
134,2087.8,STABLE,Normal Physics,1.31,527,1e-05,4e-05
135,2121.7,STABLE,Normal Physics,1.31,527,1e-05,3e-05
136,2173.8,STABLE,Normal Physics,1.32,527,1e-05,3e-05
137,2174.1,STABLE,Normal Physics,1.32,527,1e-05,3e-05
138,2115.9,STABLE,Normal Physics,1.31,527,1e-05,3e-05
139,2152.3,STABLE,Normal Physics,1.32,527,1e-05,3e-05
140,2174.3,EARLY_FIRE,Pre-ignition,1.32,527,1e-05,0.0
141,2126.0,STABLE,Normal Physics,1.32,527,0.0,3e-05
142,2165.6,STABLE,Normal Physics,1.32,527,1e-05,3e-05
143,2201.0,STABLE,Normal Physics,1.32,527,1e-05,3e-05
144,2159.6,STABLE,Normal Physics,1.32,527,1e-05,3e-05
145,2225.9,STABLE,Normal Physics,1.33,527,1e-05,3e-05
146,2185.6,STABLE,Normal Physics,1.32,527,1e-05,3e-05
147,2158.6,STABLE,Normal Physics,1.32,527,1e-05,3e-05
148,2252.8,STABLE,Normal Physics,1.33,527,1e-05,3e-05
149,2229.0,STABLE,Normal Physics,1.33,527,1e-05,3e-05
150,2237.5,STABLE,Normal Physics,1.33,527,1e-05,3e-05
151,2214.8,STABLE,Normal Physics,1.33,527,1e-05,3e-05
152,2249.4,STABLE,Normal Physics,1.33,527,1e-05,3e-05
153,2220.7,STABLE,Normal Physics,1.33,527,1e-05,3e-05
154,2254.4,STABLE,Normal Physics,1.33,527,1e-05,3e-05
155,2276.3,STABLE,Normal Physics,1.33,527,1e-05,3e-05
156,2236.2,STABLE,Normal Physics,1.33,527,1e-05,3e-05
157,2310.9,STABLE,Normal Physics,1.34,527,1e-05,3e-05
158,2319.2,STABLE,Normal Physics,1.34,527,1e-05,3e-05
159,2285.3,STABLE,Normal Physics,1.33,527,1e-05,3e-05
160,2301.7,STABLE,Normal Physics,1.34,527,1e-05,3e-05
161,2278.8,STABLE,Normal Physics,1.33,527,1e-05,3e-05
162,2318.4,STABLE,Normal Physics,1.34,527,1e-05,3e-05
163,2268.4,STABLE,Normal Physics,1.33,527,1e-05,3e-05
164,2278.6,STABLE,Normal Physics,1.33,527,1e-05,3e-05
165,2362.3,STABLE,Normal Physics,1.34,527,1e-05,3e-05
166,2330.4,STABLE,Normal Physics,1.34,527,1e-05,3e-05
167,2379.6,STABLE,Normal Physics,1.34,527,1e-05,3e-05
168,2359.9,EARLY_FIRE,Pre-ignition,1.34,527,1e-05,0.0
169,2379.7,STABLE,Normal Physics,1.34,527,0.0,3e-05
170,2363.1,EARLY_FIRE,Pre-ignition,1.34,527,1e-05,0.0
171,2388.5,STABLE,Normal Physics,1.35,527,0.0,3e-05
172,2373.7,STABLE,Normal Physics,1.34,527,1e-05,3e-05
173,2376.0,STABLE,Normal Physics,1.34,527,1e-05,3e-05
174,2370.7,STABLE,Normal Physics,1.34,527,1e-05,3e-05
175,2431.9,STABLE,Normal Physics,1.35,527,1e-05,3e-05
176,2353.0,STABLE,Normal Physics,1.34,527,1e-05,3e-05
177,2395.1,STABLE,Normal Physics,1.35,527,1e-05,3e-05
178,2443.9,STABLE,Normal Physics,1.35,527,1e-05,3e-05
179,2396.2,STABLE,Normal Physics,1.35,527,1e-05,3e-05
180,2458.3,STABLE,Normal Physics,1.35,527,1e-05,3e-05
181,2410.4,STABLE,Normal Physics,1.35,527,1e-05,3e-05
182,2465.3,STABLE,Normal Physics,1.35,527,1e-05,3e-05
183,2494.1,STABLE,Normal Physics,1.36,527,1e-05,3e-05
184,2465.6,STABLE,Normal Physics,1.35,527,1e-05,3e-05
185,2441.2,STABLE,Normal Physics,1.35,527,1e-05,3e-05
186,2509.6,STABLE,Normal Physics,1.36,527,1e-05,3e-05
187,2481.1,STABLE,Normal Physics,1.36,527,1e-05,3e-05
188,2459.7,STABLE,Normal Physics,1.35,527,1e-05,3e-05
189,2514.7,STABLE,Normal Physics,1.36,527,1e-05,3e-05
190,2530.7,STABLE,Normal Physics,1.36,527,1e-05,3e-05
191,2515.2,STABLE,Normal Physics,1.36,527,1e-05,3e-05
192,2469.5,STABLE,Normal Physics,1.35,527,1e-05,3e-05
193,2518.1,STABLE,Normal Physics,1.36,527,1e-05,3e-05
194,2544.1,STABLE,Normal Physics,1.36,527,1e-05,3e-05
195,2515.9,STABLE,Normal Physics,1.36,527,1e-05,3e-05
196,2533.1,EARLY_FIRE,Pre-ignition,1.36,527,1e-05,0.0
197,2588.7,STABLE,Normal Physics,1.37,527,0.0,3e-05
198,2568.3,STABLE,Normal Physics,1.36,527,1e-05,3e-05
199,2514.8,STABLE,Normal Physics,1.36,527,1e-05,3e-05
200,2523.8,STABLE,Normal Physics,1.36,527,1e-05,3e-05
201,2610.9,STABLE,Normal Physics,1.37,527,1e-05,3e-05
202,2587.3,STABLE,Normal Physics,1.37,527,1e-05,3e-05
203,2611.9,STABLE,Normal Physics,1.37,527,1e-05,3e-05
204,2552.3,STABLE,Normal Physics,1.36,527,1e-05,3e-05
205,2581.4,STABLE,Normal Physics,1.37,527,1e-05,3e-05
206,2611.4,STABLE,Normal Physics,1.37,527,1e-05,3e-05
207,2604.9,STABLE,Normal Physics,1.37,527,1e-05,3e-05
208,2571.0,STABLE,Normal Physics,1.36,527,1e-05,3e-05
209,2643.4,STABLE,Normal Physics,1.37,527,1e-05,3e-05
210,2674.6,STABLE,Normal Physics,1.37,527,1e-05,2e-05
211,2652.6,STABLE,Normal Physics,1.37,527,1e-05,3e-05
212,2619.0,STABLE,Normal Physics,1.37,527,1e-05,3e-05
213,2627.8,STABLE,Normal Physics,1.37,527,1e-05,3e-05
214,2658.0,STABLE,Normal Physics,1.37,527,1e-05,3e-05
215,2625.0,STABLE,Normal Physics,1.37,527,1e-05,3e-05
216,2686.4,STABLE,Normal Physics,1.38,527,1e-05,2e-05
217,2626.4,STABLE,Normal Physics,1.37,527,1e-05,3e-05
218,2637.1,STABLE,Normal Physics,1.37,527,1e-05,3e-05
219,2702.6,STABLE,Normal Physics,1.38,527,1e-05,2e-05
220,2710.6,STABLE,Normal Physics,1.38,527,1e-05,2e-05
221,2693.9,STABLE,Normal Physics,1.38,527,1e-05,2e-05
222,2715.7,STABLE,Normal Physics,1.38,527,1e-05,2e-05
223,2705.0,MISFIRE,Fuel cut,1.38,527,1e-05,0.0
224,2754.2,STABLE,Normal Physics,1.38,527,0.0,2e-05
225,2691.6,STABLE,Normal Physics,1.38,527,1e-05,2e-05
226,2733.2,STABLE,Normal Physics,1.38,527,1e-05,2e-05
227,2732.4,STABLE,Normal Physics,1.38,527,1e-05,2e-05
228,2743.3,STABLE,Normal Physics,1.38,527,1e-05,2e-05
229,2714.9,STABLE,Normal Physics,1.38,527,1e-05,2e-05
230,2720.6,STABLE,Normal Physics,1.38,527,1e-05,2e-05
231,2791.5,STABLE,Normal Physics,1.38,527,1e-05,2e-05
232,2786.1,STABLE,Normal Physics,1.38,527,1e-05,2e-05
233,2789.5,STABLE,Normal Physics,1.38,527,1e-05,2e-05
234,2825.0,STABLE,Normal Physics,1.39,527,1e-05,2e-05
235,2841.5,STABLE,Normal Physics,1.39,527,1e-05,2e-05
236,2797.0,EARLY_FIRE,Pre-ignition,1.38,527,1e-05,0.0
237,2786.2,STABLE,Normal Physics,1.38,527,0.0,2e-05
238,2856.6,STABLE,Normal Physics,1.39,527,1e-05,2e-05
239,2830.4,STABLE,Normal Physics,1.39,527,1e-05,2e-05
240,2789.4,STABLE,Normal Physics,1.38,527,1e-05,2e-05
241,2861.0,STABLE,Normal Physics,1.39,527,1e-05,2e-05
242,2803.7,STABLE,Normal Physics,1.39,527,1e-05,2e-05
243,2854.5,STABLE,Normal Physics,1.39,527,1e-05,2e-05
244,2882.3,STABLE,Normal Physics,1.39,527,1e-05,2e-05
245,2841.2,STABLE,Normal Physics,1.39,527,1e-05,2e-05
246,2853.5,STABLE,Normal Physics,1.39,527,1e-05,2e-05
247,2877.2,STABLE,Normal Physics,1.39,527,1e-05,2e-05
248,2920.8,STABLE,Normal Physics,1.39,527,1e-05,2e-05
249,2869.8,STABLE,Normal Physics,1.39,527,1e-05,2e-05
250,2865.2,STABLE,Normal Physics,1.39,527,1e-05,2e-05
251,2904.4,STABLE,Normal Physics,1.39,527,1e-05,2e-05
252,2935.8,STABLE,Normal Physics,1.4,527,1e-05,2e-05
253,2908.7,STABLE,Normal Physics,1.39,527,1e-05,2e-05
254,2880.7,STABLE,Normal Physics,1.39,527,1e-05,2e-05
255,2957.9,STABLE,Normal Physics,1.4,527,1e-05,2e-05
256,2959.0,STABLE,Normal Physics,1.4,527,1e-05,2e-05
257,2917.2,MISFIRE,Fuel cut,1.39,527,1e-05,0.0
258,2986.2,STABLE,Normal Physics,1.4,527,0.0,2e-05
259,2956.8,EARLY_FIRE,Pre-ignition,1.4,527,1e-05,0.0
260,2921.9,STABLE,Normal Physics,1.39,527,0.0,2e-05
261,2972.2,MISFIRE,Fuel cut,1.4,527,1e-05,0.0
262,2932.2,STABLE,Normal Physics,1.4,527,0.0,2e-05
263,2969.4,STABLE,Normal Physics,1.4,527,1e-05,2e-05
264,3035.0,EARLY_FIRE,Pre-ignition,1.4,527,1e-05,0.0
265,2964.9,STABLE,Normal Physics,1.4,527,0.0,2e-05
266,3026.4,STABLE,Normal Physics,1.4,527,1e-05,2e-05
267,2981.3,STABLE,Normal Physics,1.4,527,1e-05,2e-05
268,3044.4,STABLE,Normal Physics,1.4,527,1e-05,2e-05
269,3060.1,STABLE,Normal Physics,1.4,527,1e-05,2e-05
270,3007.2,MISFIRE,Fuel cut,1.4,527,1e-05,0.0
271,3026.1,STABLE,Normal Physics,1.4,527,0.0,2e-05
272,3024.5,STABLE,Normal Physics,1.4,527,1e-05,2e-05
273,3083.6,STABLE,Normal Physics,1.41,527,1e-05,2e-05
274,3039.7,STABLE,Normal Physics,1.4,527,1e-05,2e-05
275,3080.2,STABLE,Normal Physics,1.4,527,1e-05,2e-05
276,3098.3,STABLE,Normal Physics,1.41,527,1e-05,2e-05
277,3104.2,STABLE,Normal Physics,1.41,527,1e-05,2e-05
278,3121.5,STABLE,Normal Physics,1.41,527,1e-05,2e-05
279,3122.4,EARLY_FIRE,Pre-ignition,1.41,527,1e-05,0.0
280,3113.1,STABLE,Normal Physics,1.41,527,0.0,2e-05
281,3099.4,STABLE,Normal Physics,1.41,527,1e-05,2e-05
282,3125.8,STABLE,Normal Physics,1.41,527,1e-05,2e-05
283,3145.4,STABLE,Normal Physics,1.41,527,1e-05,2e-05
284,3181.1,STABLE,Normal Physics,1.41,527,1e-05,2e-05
285,3158.5,STABLE,Normal Physics,1.41,527,1e-05,2e-05
286,3146.0,STABLE,Normal Physics,1.41,527,1e-05,2e-05
287,3140.4,STABLE,Normal Physics,1.41,527,1e-05,2e-05
288,3179.4,STABLE,Normal Physics,1.41,527,1e-05,2e-05
289,3140.4,STABLE,Normal Physics,1.41,527,1e-05,2e-05
290,3151.3,STABLE,Normal Physics,1.41,527,1e-05,2e-05
291,3183.5,STABLE,Normal Physics,1.41,527,1e-05,2e-05
292,3161.6,STABLE,Normal Physics,1.41,527,1e-05,2e-05
293,3226.3,STABLE,Normal Physics,1.41,527,1e-05,2e-05
294,3167.3,STABLE,Normal Physics,1.41,527,1e-05,2e-05
295,3234.7,STABLE,Normal Physics,1.41,527,1e-05,2e-05
296,3180.0,STABLE,Normal Physics,1.41,527,1e-05,2e-05
297,3221.0,STABLE,Normal Physics,1.41,527,1e-05,2e-05
298,3206.1,STABLE,Normal Physics,1.41,527,1e-05,2e-05
299,3236.1,STABLE,Normal Physics,1.41,527,1e-05,2e-05
300,3199.9,STABLE,Normal Physics,1.41,527,1e-05,2e-05
301,3263.0,STABLE,Normal Physics,1.42,527,1e-05,2e-05
302,3205.1,STABLE,Normal Physics,1.41,527,1e-05,2e-05
303,3275.7,STABLE,Normal Physics,1.42,527,1e-05,2e-05
304,3277.7,STABLE,Normal Physics,1.42,527,1e-05,2e-05
305,3232.3,STABLE,Normal Physics,1.41,527,1e-05,2e-05
306,3329.5,STABLE,Normal Physics,1.42,527,1e-05,2e-05
307,3301.2,STABLE,Normal Physics,1.42,527,1e-05,2e-05
308,3319.8,STABLE,Normal Physics,1.42,527,1e-05,2e-05
309,3294.5,STABLE,Normal Physics,1.42,527,1e-05,2e-05
310,3317.1,STABLE,Normal Physics,1.42,527,1e-05,2e-05
311,3312.1,STABLE,Normal Physics,1.42,527,1e-05,2e-05
312,3306.1,STABLE,Normal Physics,1.42,527,1e-05,2e-05
313,3344.6,STABLE,Normal Physics,1.42,527,1e-05,2e-05
314,3340.1,MISFIRE,Fuel cut,1.42,527,1e-05,0.0
315,3370.6,STABLE,Normal Physics,1.42,527,0.0,2e-05
316,3364.5,STABLE,Normal Physics,1.42,527,1e-05,2e-05
317,3343.1,STABLE,Normal Physics,1.42,527,1e-05,2e-05
318,3374.6,STABLE,Normal Physics,1.42,527,1e-05,2e-05
319,3319.3,STABLE,Normal Physics,1.42,527,1e-05,2e-05
320,3363.8,STABLE,Normal Physics,1.42,527,1e-05,2e-05
321,3361.6,STABLE,Normal Physics,1.42,527,1e-05,2e-05
322,3388.9,STABLE,Normal Physics,1.42,527,1e-05,2e-05
323,3354.3,STABLE,Normal Physics,1.42,527,1e-05,2e-05
